"Ensembl","Entrez","Gene.Symbol","Length"
"ENSMUSG00000036782",67455,"Klhl13",4253
"ENSMUSG00000036769",72404,"Wdr44",8353
"ENSMUSG00000068113",236749,"Tesl1",1493
"ENSMUSG00000090102",245376,"Tesl2",1233
"ENSMUSG00000084063",546272,"Gm5934",2588
"ENSMUSG00000081218",100043216,"Gm4297",2579
"ENSMUSG00000093923",546282,"Gm5935",875
"ENSMUSG00000094775",100040417,"Gm2759",639
"ENSMUSG00000096620",382277,"Gm5169",768
"ENSMUSG00000096724",100038968,"Gm1989",636
"ENSMUSG00000073267",100038977,"Gm1993",1131
"ENSMUSG00000080959",100038997,"Gm2003",636
"ENSMUSG00000095392",101055879,"Gm7350",636
"ENSMUSG00000079655",382275,"Gm5168",824
"ENSMUSG00000082639",100039030,"Gm2012",1131
"ENSMUSG00000083628",100039065,"Gm2030",1129
"ENSMUSG00000095063",664829,"Slx",925
"ENSMUSG00000071788",100039120,"Gm14525",893
"ENSMUSG00000096907",105242403,"Gm6113",639
"ENSMUSG00000080725",619991,"Gm6121",924
"ENSMUSG00000095423",664861,"Gm7375",639
"ENSMUSG00000095546",100042175,"Gm10230",867
"ENSMUSG00000095321",100039194,"Gm2092",639
"ENSMUSG00000093817",108168459,"Gm2101",2517
"ENSMUSG00000094424",664877,"Gm7386",639
"ENSMUSG00000095293",100039240,"Gm10058",893
"ENSMUSG00000095494",664890,"Gm7391",639
"ENSMUSG00000094624",22526,"Gm4836",907
"ENSMUSG00000095356",664906,"Gm7398",639
"ENSMUSG00000096457",100039324,"Gm10147",864
"ENSMUSG00000095089",664923,"Gm7408",639
"ENSMUSG00000095887",100039377,"Gm10096",907
"ENSMUSG00000095802",664944,"Gm7415",639
"ENSMUSG00000095152",100042087,"Gm3657",639
"ENSMUSG00000073257",100042109,"Gm10488",874
"ENSMUSG00000085060",414104,"E330016L19Rik",1959
"ENSMUSG00000096311",100042122,"Gm3681",639
"ENSMUSG00000073255",100042144,"Gm14632",864
"ENSMUSG00000096539",664989,"Gm7438",639
"ENSMUSG00000094759",100039467,"Gm10487",907
"ENSMUSG00000094391",100862067,"Btbd35f29",1497
"ENSMUSG00000095754",108168466,"Spin2f",765
"ENSMUSG00000096194",100040482,"Btbd35f2",1949
"ENSMUSG00000099711",100862329,"Btbd35f21",1943
"ENSMUSG00000094115",100040612,"Spin2-ps6",525
"ENSMUSG00000101500",100040606,"Btbd35f12",1908
"ENSMUSG00000087224",100039362,"Gm2182",663
"ENSMUSG00000087007",100039429,"Gm2231",612
"ENSMUSG00000101294",100040698,"Btbd35f15",1917
"ENSMUSG00000086668",100415988,"Gm15273",868
"ENSMUSG00000087468",630028,"Gm7023",868
"ENSMUSG00000095934",100040722,"Btbd35f13",1701
"ENSMUSG00000078324",100040732,"Btbd35f14",1701
"ENSMUSG00000096915",100040781,"Btbd35f6",1497
"ENSMUSG00000095659",108168468,"Spin2g",687
"ENSMUSG00000084363",100039522,"Gm2288",638
"ENSMUSG00000073247",100039550,"Gm10486",924
"ENSMUSG00000086757",105247277,"Gm2309",1941
"ENSMUSG00000095899",100039573,"Gm2318",639
"ENSMUSG00000073245",100039585,"Gm14819",928
"ENSMUSG00000087847",115486089,"Gm25624",275
"ENSMUSG00000031093",75974,"Dock11",9240
"ENSMUSG00000017057",16164,"Il13ra1",3712
"ENSMUSG00000036699",72693,"Zcchc12",2280
"ENSMUSG00000081159",547166,"Gm6023",606
"ENSMUSG00000016239",74365,"Lonrf3",3812
"ENSMUSG00000084616",115489189,"LOC115489189",104
"ENSMUSG00000065031",115489185,"Gm22364",98
"ENSMUSG00000091556",101055983,"Gm14569",5722
"ENSMUSG00000006373",53328,"Pgrmc1",1857
"ENSMUSG00000059708",338351,"Akap17b",6003
"ENSMUSG00000081281",621983,"Rpl7-ps9",797
"ENSMUSG00000037636",194744,"Slc25a43",1780
"ENSMUSG00000064530",115489213,"Gm23613",87
"ENSMUSG00000016319",11740,"Slc25a5",1646
"ENSMUSG00000006423",77644,"C330007P06Rik",7424
"ENSMUSG00000016308",22209,"Ube2a",1662
"ENSMUSG00000044149",77286,"Nkrf",3268
"ENSMUSG00000087155",100534633,"Gm15008",460
"ENSMUSG00000050379",56526,"Septin6",9882
"ENSMUSG00000044400",245381,"Sowahd",1574
"ENSMUSG00000087873",115489202,"Gm26099",109
"ENSMUSG00000079641",67248,"Rpl39",1434
"ENSMUSG00000065642",104369,"Snora69",131
"ENSMUSG00000036572",68134,"Upf3b",3999
"ENSMUSG00000016409",67050,"Nkap",4326
"ENSMUSG00000036551",434756,"Akap14",1792
"ENSMUSG00000016427",54405,"Ndufa1",419
"ENSMUSG00000036537",69942,"Rnf113a1",1223
"ENSMUSG00000073243",194854,"Gm9",817
"ENSMUSG00000071773",385343,"Rhox1",883
"ENSMUSG00000051827",75199,"Rhox2a",844
"ENSMUSG00000071772",382209,"Rhox3a",1053
"ENSMUSG00000079639",664609,"Rhox4a",2289
"ENSMUSG00000095601",100861623,"Rhox3a2",1008
"ENSMUSG00000094945",100861640,"Rhox4a2",901
"ENSMUSG00000079638",100039913,"Rhox2b",1554
"ENSMUSG00000084056",100135653,"Rhox3b-ps",868
"ENSMUSG00000071771",57737,"Rhox4b",2213
"ENSMUSG00000079637",100039948,"Rhox2c",1149
"ENSMUSG00000079636",100135654,"Rhox3c",1053
"ENSMUSG00000079635",434759,"Rhox4c",2249
"ENSMUSG00000095698",434760,"Rhox2d",685
"ENSMUSG00000065088",115489211,"Gm26494",143
"ENSMUSG00000082297",546295,"Rhox3d-ps",825
"ENSMUSG00000079633",664610,"Rhox4d",2239
"ENSMUSG00000096788",100040016,"Rhox2e",848
"ENSMUSG00000059626",100135657,"Rhox3e",1053
"ENSMUSG00000071770",194856,"Rhox4e",2298
"ENSMUSG00000095741",434764,"Rhox2f",799
"ENSMUSG00000095510",621852,"Rhox3f",1008
"ENSMUSG00000079630",636177,"Rhox4f",2290
"ENSMUSG00000080933",546294,"Rhox3g",991
"ENSMUSG00000065739",115489210,"Gm24493",143
"ENSMUSG00000079629",434766,"Rhox2g",797
"ENSMUSG00000079628",664608,"Rhox4g",2315
"ENSMUSG00000071769",434758,"Rhox3h",1053
"ENSMUSG00000064697",115489212,"Gm24147",144
"ENSMUSG00000079627",622301,"Rhox2h",787
"ENSMUSG00000081195",622311,"Rhox2-ps",745
"ENSMUSG00000095180",18617,"Rhox5",754
"ENSMUSG00000006200",19202,"Rhox6",1010
"ENSMUSG00000071767",547168,"Rhox7a",1229
"ENSMUSG00000064137",434768,"Rhox8",1204
"ENSMUSG00000079626",436198,"Rhox7b",1091
"ENSMUSG00000068048",104384,"Rhox9",2488
"ENSMUSG00000082734",104053955,"Rhox11-ps1",135
"ENSMUSG00000068173",436199,"Btg1b",1560
"ENSMUSG00000098348",194735,"Btg1c",1194
"ENSMUSG00000053909",434769,"Rhox10",763
"ENSMUSG00000051038",194738,"Rhox11",811
"ENSMUSG00000089963",104053954,"Rhox11-ps3",235
"ENSMUSG00000071766",382282,"Rhox12",1078
"ENSMUSG00000050197",73614,"Rhox13",876
"ENSMUSG00000048047",56805,"Zbtb33",5122
"ENSMUSG00000036502",245386,"Tmem255a",4490
"ENSMUSG00000092794",100526512,"Mir3110",80
"ENSMUSG00000084009",665331,"Rhox7-ps1",806
"ENSMUSG00000016327",67821,"Atp1b4",4201
"ENSMUSG00000081473",227112,"Gm4853",394
"ENSMUSG00000016534",16784,"Lamp2",9552
"ENSMUSG00000031095",72584,"Cul4b",3873
"ENSMUSG00000000355",68995,"Mcts1",1571
"ENSMUSG00000048970",59048,"C1galt1c1",1449
"ENSMUSG00000051361",77883,"6030498E09Rik",1291
"ENSMUSG00000081147",547171,"Gm6024",1558
"ENSMUSG00000084039",108168460,"Gm14551",256
"ENSMUSG00000064529",115489171,"Gm26437",105
"ENSMUSG00000079619",78631,"Cypt15",519
"ENSMUSG00000083845",100416195,"Gm14571",570
"ENSMUSG00000095240",100504400,"Cypt14",508
"ENSMUSG00000083174",636766,"Gm7190",1452
"ENSMUSG00000080996",245391,"Gm4986",549
"ENSMUSG00000084287",100416653,"Gm14576",1111
"ENSMUSG00000081880",100861747,"Gm5385",1559
"ENSMUSG00000083515",108168462,"Gm14577",256
"ENSMUSG00000001986",53623,"Gria3",9859
"ENSMUSG00000082966",101055968,"Gm14614",384
"ENSMUSG00000037475",331401,"Thoc2",12666
"ENSMUSG00000080798",333830,"Gm5135",573
"ENSMUSG00000025860",11798,"Xiap",9262
"ENSMUSG00000025862",20843,"Stag2",8273
"ENSMUSG00000005696",20400,"Sh2d1a",5505
"ENSMUSG00000016150",23963,"Tenm1",17747
"ENSMUSG00000077558",115486102,"Gm23705",130
"ENSMUSG00000065622",115489259,"Gm24763",190
"ENSMUSG00000083598",102640436,"Gm14579",283
"ENSMUSG00000078320",637093,"Tex13c1",2245
"ENSMUSG00000050926",245403,"Dcaf12l2",2885
"ENSMUSG00000082775",677682,"Itpa-ps3",395
"ENSMUSG00000045284",245404,"Dcaf12l1",3531
"ENSMUSG00000083721",665585,"Gm7700",970
"ENSMUSG00000037086",68800,"Prr32",1110
"ENSMUSG00000080764",100040038,"Gm14606",1155
"ENSMUSG00000064464",115489169,"Gm25078",107
"ENSMUSG00000084000",100417665,"Gm14653",1533
"ENSMUSG00000085157",75133,"4930515L19Rik",769
"ENSMUSG00000046615",73360,"Actrt1",1339
"ENSMUSG00000063816",245405,"Gm4987",408
"ENSMUSG00000082204",665632,"Gm7722",741
"ENSMUSG00000083499",100417173,"Gm14609",902
"ENSMUSG00000082426",100415992,"Gm14610",966
"ENSMUSG00000083094",236775,"Gm4908",1005
"ENSMUSG00000084348",100040133,"Gm14608",1553
"ENSMUSG00000031099",93761,"Smarca1",6118
"ENSMUSG00000068014",676253,"Gm14648",483
"ENSMUSG00000001173",320634,"Ocrl",9486
"ENSMUSG00000037010",30878,"Apln",3149
"ENSMUSG00000037005",170745,"Xpnpep2",4878
"ENSMUSG00000031101",74131,"Sash3",2677
"ENSMUSG00000036985",208884,"Zdhhc9",6733
"ENSMUSG00000064806",115489251,"Gm24038",159
"ENSMUSG00000063785",72554,"Utp14a",4130
"ENSMUSG00000036959",320376,"Bcorl1",8516
"ENSMUSG00000031103",56501,"Elf4",6148
"ENSMUSG00000036932",26926,"Aifm1",4006
"ENSMUSG00000031104",19337,"Rab33a",1158
"ENSMUSG00000036916",208968,"Zfp280c",5236
"ENSMUSG00000031105",20523,"Slc25a14",2364
"ENSMUSG00000051209",236781,"Gpr119",2269
"ENSMUSG00000031107",209003,"Rbmx2",1872
"ENSMUSG00000079606",209005,"Fsip2l",2122
"ENSMUSG00000031109",209224,"Enox2",4356
"ENSMUSG00000036198",75404,"Arhgap36",3421
"ENSMUSG00000071764",236784,"Olfr1320",960
"ENSMUSG00000067971",236785,"Olfr1321",960
"ENSMUSG00000031111",209268,"Igsf1",5768
"ENSMUSG00000056281",257978,"Olfr1322",933
"ENSMUSG00000050504",258385,"Olfr1323",930
"ENSMUSG00000083754",665816,"Gm7803",1015
"ENSMUSG00000094897",115489273,"Gm22288",107
"ENSMUSG00000048173",258289,"Olfr1324",999
"ENSMUSG00000083112",100041788,"Gm14620",383
"ENSMUSG00000085396",103012,"Firre",1439
"ENSMUSG00000031112",70415,"Stk26",5271
"ENSMUSG00000036131",385354,"Frmd7",2142
"ENSMUSG00000050029",72065,"Rap2c",3545
"ENSMUSG00000036109",171170,"Mbnl3",8743
"ENSMUSG00000082950",665866,"Btf3-ps10",437
"ENSMUSG00000081350",385356,"Gm5388",1117
"ENSMUSG00000062184",50786,"Hs6st2",7807
"ENSMUSG00000055780",83563,"Usp26",4133
"ENSMUSG00000088792",115486122,"Gm22539",117
"ENSMUSG00000031118",74279,"Magea14",1571
"ENSMUSG00000031119",14735,"Gpc4",2651
"ENSMUSG00000055653",14734,"Gpc3",2690
"ENSMUSG00000076214",751531,"Mir717",109
"ENSMUSG00000055110",100504594,"A630012P03Rik",1974
"ENSMUSG00000070106",723852,"Mir363",75
"ENSMUSG00000065613",723942,"Mir92-2",91
"ENSMUSG00000065473",387195,"Mir19b-2",84
"ENSMUSG00000076041",723923,"Mir20b",80
"ENSMUSG00000077111",100124431,"Mir18b",83
"ENSMUSG00000065456",723829,"Mir106a",65
"ENSMUSG00000083621",100041925,"Gm14586",408
"ENSMUSG00000081843",108168469,"Gm7851",323
"ENSMUSG00000073207",434778,"Ccdc160",1536
"ENSMUSG00000082887",100422782,"Gm14607",491
"ENSMUSG00000081684",546298,"Rps2-ps13",882
"ENSMUSG00000025626",70998,"Phf6",6946
"ENSMUSG00000025630",15452,"Hprt",1289
"ENSMUSG00000076050",751532,"Mir450b",82
"ENSMUSG00000065486",723869,"Mir450-1",91
"ENSMUSG00000076399",723938,"Mir450-2",69
"ENSMUSG00000076140",723901,"Mir542",85
"ENSMUSG00000065503",723910,"Mir351",99
"ENSMUSG00000076122",723879,"Mir503",71
"ENSMUSG00000065418",723907,"Mir322",95
"ENSMUSG00000061082",56096,"Plac1",1395
"ENSMUSG00000036022",78755,"Fam122b",4409
"ENSMUSG00000036013",73866,"Fam122c",995
"ENSMUSG00000081145",385527,"Gm14585",634
"ENSMUSG00000023074",70380,"Mospd1",2085
"ENSMUSG00000083798",100040609,"Gm14584",637
"ENSMUSG00000060967",69501,"Etd",478
"ENSMUSG00000079593",71159,"4933416I08Rik",827
"ENSMUSG00000051851",72865,"Rtl8c",401
"ENSMUSG00000083738",100040644,"Gm14592",560
"ENSMUSG00000084076",100416196,"Gm14600",630
"ENSMUSG00000067925",66158,"Rtl8a",1195
"ENSMUSG00000067924",553127,"Rtl8b",1232
"ENSMUSG00000071763",100504039,"Gm53064",703
"ENSMUSG00000085998",331578,"AW822252",4065
"ENSMUSG00000055555",75013,"Ct55",1427
"ENSMUSG00000054727",75514,"1700013H16Rik",1224
"ENSMUSG00000082616",102634082,"Gm6025",201
"ENSMUSG00000084308",115489116,"Gm14593",294
"ENSMUSG00000059334",333473,"Zfp36l3",2347
"ENSMUSG00000054626",22441,"Xlr",2333
"ENSMUSG00000083278",100418345,"Gm14589",727
"ENSMUSG00000095284",115489280,"Gm22550",107
"ENSMUSG00000094698",625508,"Gm14596",537
"ENSMUSG00000081638",666096,"Gm14594",537
"ENSMUSG00000094975",666122,"Gm14595",537
"ENSMUSG00000096376",666135,"Gm14590",537
"ENSMUSG00000096127",625210,"Gm14625",468
"ENSMUSG00000095398",100039055,"Gm16404",468
"ENSMUSG00000096374",626315,"Gm6664",468
"ENSMUSG00000081706",666097,"Gm7927",880
"ENSMUSG00000031125",70691,"3830403N18Rik",1022
"ENSMUSG00000073177",331416,"Gm773",951
"ENSMUSG00000085114",72030,"1600025M17Rik",1071
"ENSMUSG00000073176",78619,"Zfp449",3738
"ENSMUSG00000054850",320237,"Smim10l2a",2369
"ENSMUSG00000081620",102639974,"Gm14633",470
"ENSMUSG00000035967",236790,"Ints6l",7173
"ENSMUSG00000064016",270599,"Gm648",1040
"ENSMUSG00000061273",236792,"Mmgt1",4234
"ENSMUSG00000092787",100628628,"Mir5116",63
"ENSMUSG00000060681",236794,"Slc9a6",4961
"ENSMUSG00000088394",115489254,"Gm26312",165
"ENSMUSG00000023092",14199,"Fhl1",3714
"ENSMUSG00000088944",115489196,"Gm23258",106
"ENSMUSG00000067878",320923,"Map7d3",2891
"ENSMUSG00000053852",236798,"Adgrg4",9817
"ENSMUSG00000031130",12209,"Brs3",2772
"ENSMUSG00000067873",72459,"Htatsf1",4879
"ENSMUSG00000031131",170828,"Vgll1",2455
"ENSMUSG00000085808",100502842,"Gm14718",752
"ENSMUSG00000031132",21947,"Cd40lg",1250
"ENSMUSG00000031133",73341,"Arhgef6",8552
"ENSMUSG00000031134",19655,"Rbmx",4330
"ENSMUSG00000065110",353374,"Snord61",71
"ENSMUSG00000079584",245423,"Gm364",2156
"ENSMUSG00000036357",245424,"Gpr101",5410
"ENSMUSG00000080710",666447,"Gm8107",2009
"ENSMUSG00000083821",100416294,"Gm14631",594
"ENSMUSG00000093905",115489157,"Gm25023",107
"ENSMUSG00000067860",22773,"Zic3",4639
"ENSMUSG00000084044",100418408,"Gm14647",680
"ENSMUSG00000064728",115489170,"Gm25851",107
"ENSMUSG00000046180",75352,"Magea13",1684
"ENSMUSG00000031137",14168,"Fgf13",4019
"ENSMUSG00000070110",100124476,"Mir504",79
"ENSMUSG00000088647",115489198,"Gm26487",94
"ENSMUSG00000031138",14071,"F9",2734
"ENSMUSG00000046993",434782,"Gm5637",1119
"ENSMUSG00000031139",109904,"Mcf2",4502
"ENSMUSG00000062949",320940,"Atp11c",7312
"ENSMUSG00000094896",115489175,"Gm22287",107
"ENSMUSG00000070081",751545,"Mir505",90
"ENSMUSG00000079583",631784,"Gm7073",1497
"ENSMUSG00000082226",279618,"Gm715",831
"ENSMUSG00000084331",666559,"Gm8163",1060
"ENSMUSG00000045179",20675,"Sox3",2065
"ENSMUSG00000087565",102631518,"Gm38438",734
"ENSMUSG00000071753",331424,"Cdr1os",3644
"ENSMUSG00000090546",631990,"Cdr1",2313
"ENSMUSG00000083343",102632063,"Gm14666",843
"ENSMUSG00000083158",100417187,"Gm14655",578
"ENSMUSG00000057615",434784,"Ldoc1",1459
"ENSMUSG00000096222",115489276,"Gm25412",107
"ENSMUSG00000081409",666654,"Gm8215",990
"ENSMUSG00000083617",385367,"Gm5390",1230
"ENSMUSG00000082168",100417188,"Gm14656",502
"ENSMUSG00000045330",74437,"Magec2",2025
"ENSMUSG00000031194",70936,"4931400O07Rik",647
"ENSMUSG00000085757",75545,"Tslrn1",778
"ENSMUSG00000083346",102632622,"Gm8260",353
"ENSMUSG00000079579",627470,"Gm6760",604
"ENSMUSG00000031179",70696,"Magea9",1767
"ENSMUSG00000046699",245446,"Slitrk4",8743
"ENSMUSG00000084459",115489207,"Gm24598",74
"ENSMUSG00000065903",115489168,"Gm26111",106
"ENSMUSG00000081514",100040011,"Gm14673",903
"ENSMUSG00000031181",70062,"Ctag2",854
"ENSMUSG00000036790",245450,"Slitrk2",8080
"ENSMUSG00000087708",115489256,"Gm23000",139
"ENSMUSG00000077127",100049546,"Mir743",62
"ENSMUSG00000094184",100124496,"Mir743b",77
"ENSMUSG00000081603",115489150,"Gm14681",411
"ENSMUSG00000077092",100049548,"Mir742",65
"ENSMUSG00000078017",100124462,"Mir883a",76
"ENSMUSG00000078024",100124493,"Mir883b",78
"ENSMUSG00000070104",723939,"Mir471",67
"ENSMUSG00000077119",100049545,"Mir741",71
"ENSMUSG00000070078",723887,"Mir463",75
"ENSMUSG00000078002",100124480,"Mir880",78
"ENSMUSG00000077872",100124479,"Mir878",78
"ENSMUSG00000078038",100124460,"Mir881",78
"ENSMUSG00000096628",100124478,"Mir871",77
"ENSMUSG00000070073",723873,"Mir470",75
"ENSMUSG00000095782",100124441,"Mir465c-1",81
"ENSMUSG00000094894",100124473,"Mir465b-1",79
"ENSMUSG00000095006",100124464,"Mir465c-2",81
"ENSMUSG00000096504",100124440,"Mir465b-2",79
"ENSMUSG00000070071",723888,"Mir465",74
"ENSMUSG00000080795",627734,"Gm6783",1437
"ENSMUSG00000081442",100416300,"Gm14682",524
"ENSMUSG00000081598",666828,"Gm8312",618
"ENSMUSG00000087724",115486109,"Gm26276",109
"ENSMUSG00000079578",382217,"Gm1140",782
"ENSMUSG00000079577",666842,"Gm14692",782
"ENSMUSG00000082621",100302460,"Rpl7a-ps13",563
"ENSMUSG00000025288",66780,"4933436I01Rik",1426
"ENSMUSG00000065404",387197,"Mir201",66
"ENSMUSG00000076005",723918,"Mir547",78
"ENSMUSG00000081084",434788,"Gm5638",1258
"ENSMUSG00000000838",14265,"Fmr1",8966
"ENSMUSG00000062170",207854,"Fmr1nb",937
"ENSMUSG00000071748",100040244,"Gm14698",4226
"ENSMUSG00000056815",627927,"Gm6812",525
"ENSMUSG00000065689",115489266,"n-R5s7",121
"ENSMUSG00000031189",14266,"Aff2",7267
"ENSMUSG00000100511",74305,"1700111N16Rik",1133
"ENSMUSG00000059690",75509,"1700020N15Rik",525
"ENSMUSG00000035847",15931,"Ids",5101
"ENSMUSG00000045237",68618,"Eola1",1094
"ENSMUSG00000073141",619303,"4930567H17Rik",840
"ENSMUSG00000082538",100417174,"Gm14704",874
"ENSMUSG00000084193",628002,"Gm6823",1839
"ENSMUSG00000082770",100417175,"Gm14722",689
"ENSMUSG00000073139",236848,"Tmem185a",2513
"ENSMUSG00000083784",100417190,"Gm14729",689
"ENSMUSG00000082336",666981,"Gm8401",1739
"ENSMUSG00000080843",100417191,"Gm14726",896
"ENSMUSG00000082652",628053,"Gm14725",828
"ENSMUSG00000082083",333917,"Gm14728",493
"ENSMUSG00000077275",115486091,"Gm22785",132
"ENSMUSG00000059401",333639,"Mamld1",4796
"ENSMUSG00000031337",17772,"Mtm1",13935
"ENSMUSG00000015214",53332,"Mtmr1",5859
"ENSMUSG00000035776",171486,"Cd99l2",4902
"ENSMUSG00000084114",108168472,"Gm8421",305
"ENSMUSG00000015217",15354,"Hmgb3",2234
"ENSMUSG00000056380",14765,"Gpr50",3069
"ENSMUSG00000073131",67048,"Vma21",7303
"ENSMUSG00000073130",382221,"Gm1141",2305
"ENSMUSG00000033361",208748,"Prrg3",6087
"ENSMUSG00000053593",77905,"Fate1",1500
"ENSMUSG00000005864",12789,"Cnga2",3095
"ENSMUSG00000033343",17140,"Magea4",948
"ENSMUSG00000031340",14404,"Gabre",4736
"ENSMUSG00000065542",723894,"Mir224",82
"ENSMUSG00000070138",723919,"Mir452",85
"ENSMUSG00000043453",236852,"Magea10",1821
"ENSMUSG00000031343",14396,"Gabra3",3924
"ENSMUSG00000076455",100316827,"Mir767",107
"ENSMUSG00000077847",100124463,"Mir105",80
"ENSMUSG00000065199",115489161,"Gm23461",107
"ENSMUSG00000031344",57249,"Gabrq",5352
"ENSMUSG00000031347",26370,"Cetn2",1646
"ENSMUSG00000031349",18194,"Nsdhl",2853
"ENSMUSG00000031351",22673,"Zfp185",3707
"ENSMUSG00000089357",100316779,"Mir2137",66
"ENSMUSG00000050424",385377,"Pnma5",3123
"ENSMUSG00000046287",245468,"Pnma3",3405
"ENSMUSG00000079845",434794,"Xlr4a",1535
"ENSMUSG00000057836",22445,"Xlr3a",4045
"ENSMUSG00000058328",574438,"Xlr5a",1843
"ENSMUSG00000067771",574404,"Gm14685",2864
"ENSMUSG00000071745",574405,"DXBay18",2862
"ENSMUSG00000072479",627081,"Xlr5b",1744
"ENSMUSG00000079566",100504429,"Spin2d",1015
"ENSMUSG00000073125",574437,"Xlr3b",3780
"ENSMUSG00000067768",27083,"Xlr4b",2560
"ENSMUSG00000078317",14070,"F8a",2505
"ENSMUSG00000031362",72891,"Xlr4c",2232
"ENSMUSG00000058147",22446,"Xlr3c",1584
"ENSMUSG00000067764",27084,"Xlr5c",1665
"ENSMUSG00000082629",434795,"Pwwp4-ps",2403
"ENSMUSG00000081253",115489103,"Gm8501",432
"ENSMUSG00000031365",27081,"Zfp275",6745
"ENSMUSG00000031374",22754,"Zfp92",6744
"ENSMUSG00000031372",24102,"Trex2",1017
"ENSMUSG00000031371",73738,"Haus7",1438
"ENSMUSG00000031375",12111,"Bgn",6099
"ENSMUSG00000031376",320707,"Atp2b3",4820
"ENSMUSG00000031383",75590,"Dusp9",2722
"ENSMUSG00000002012",93843,"Pnck",1971
"ENSMUSG00000019558",102857,"Slc6a8",5210
"ENSMUSG00000002015",27061,"Bcap31",1219
"ENSMUSG00000031378",11666,"Abcd1",4192
"ENSMUSG00000088823",115486086,"Gm25226",123
"ENSMUSG00000031385",140571,"Plxnb3",6493
"ENSMUSG00000002007",56504,"Srpk3",2784
"ENSMUSG00000002010",15929,"Idh3g",2701
"ENSMUSG00000002014",20832,"Ssr4",3096
"ENSMUSG00000002006",245469,"Pdzd4",3970
"ENSMUSG00000064536",115489209,"Gm23615",65
"ENSMUSG00000031391",16728,"L1cam",7347
"ENSMUSG00000031389",171207,"Arhgap4",8105
"ENSMUSG00000031390",12000,"Avpr2",2886
"ENSMUSG00000031388",56292,"Naa10",4132
"ENSMUSG00000031387",19703,"Renbp",2494
"ENSMUSG00000031386",15161,"Hcfc1",8360
"ENSMUSG00000031392",16179,"Irak1",4716
"ENSMUSG00000092907",100628601,"Mir5132",71
"ENSMUSG00000076127",751533,"Mir718",88
"ENSMUSG00000031393",17257,"Mecp2",10592
"ENSMUSG00000031394",14539,"Opn1mw",1562
"ENSMUSG00000062564",385380,"Tex28",1425
"ENSMUSG00000084131",628388,"Rpl3-ps2",1214
"ENSMUSG00000031397",83553,"Tktl1",2473
"ENSMUSG00000031328",192176,"Flna",9400
"ENSMUSG00000001964",13726,"Emd",2517
"ENSMUSG00000008682",110954,"Rpl10",2053
"ENSMUSG00000064981",104368,"Snora70",137
"ENSMUSG00000019088",69537,"Dnase1l1",2121
"ENSMUSG00000099226",102466804,"Mir7091",79
"ENSMUSG00000084271",108168465,"Gm14846",216
"ENSMUSG00000009995",66826,"Taz",5364
"ENSMUSG00000019087",54411,"Atp6ap1",3026
"ENSMUSG00000015291",14567,"Gdi1",4296
"ENSMUSG00000001962",108160,"Fam50a",2288
"ENSMUSG00000031398",18846,"Plxna3",7880
"ENSMUSG00000015289",66192,"Lage3",2021
"ENSMUSG00000032806",214601,"Slc10a3",2023
"ENSMUSG00000031399",66294,"Fam3a",2485
"ENSMUSG00000004221",16151,"Ikbkg",8110
"ENSMUSG00000031400",14381,"G6pdx",3080
"ENSMUSG00000079536",628456,"Ctag2l1",627
"ENSMUSG00000082707",628465,"Gm6881",833
"ENSMUSG00000083768",628474,"Gm15362",388
"ENSMUSG00000065291",115489279,"Gm26125",107
"ENSMUSG00000085066",245472,"Gm4989",749
"ENSMUSG00000051706",258393,"Olfr1325",948
"ENSMUSG00000077462",115486093,"Gm26417",135
"ENSMUSG00000079534",434797,"Gm5640",2861
"ENSMUSG00000083847",667382,"Xlr3d-ps",658
"ENSMUSG00000065859",115489187,"LOC115489187",107
"ENSMUSG00000079532",628518,"Ctag2l2",776
"ENSMUSG00000082427",404499,"Olfr1327-ps1",867
"ENSMUSG00000081814",100417402,"Gm14695",282
"ENSMUSG00000082170",667413,"Gm8617",2222
"ENSMUSG00000079531",546325,"Gm5936",2857
"ENSMUSG00000081940",667437,"Xlr3e-ps",682
"ENSMUSG00000081357",619334,"Xlr4e-ps",648
"ENSMUSG00000065935",115489180,"Gm25629",107
"ENSMUSG00000082873",100417917,"Gm15367",1016
"ENSMUSG00000031403",245474,"Dkc1",4121
"ENSMUSG00000089014",115489214,"Gm25520",118
"ENSMUSG00000031402",17524,"Mpp1",5343
"ENSMUSG00000073094",434800,"Smim9",806
"ENSMUSG00000031196",14069,"F8",9905
"ENSMUSG00000081633",667218,"Gm8522",1929
"ENSMUSG00000031198",67391,"Fundc2",2785
"ENSMUSG00000090110",105886298,"Cmc4",1310
"ENSMUSG00000031200",17763,"Mtcp1",4478
"ENSMUSG00000031201",210766,"Brcc3",7887
"ENSMUSG00000031197",22327,"Vbp1",2132
"ENSMUSG00000031202",67790,"Rab39b",3401
"ENSMUSG00000077406",115489250,"Gm25421",164
"ENSMUSG00000082551",100417521,"Gm15065",273
"ENSMUSG00000087396",74396,"4933407K13Rik",6432
"ENSMUSG00000016382",102866,"Pls3",4238
"ENSMUSG00000077650",115489238,"Gm23320",127
"ENSMUSG00000081106",635295,"Gm7155",1671
"ENSMUSG00000082755",667537,"Gm8692",438
"ENSMUSG00000071738",238829,"Cldn34b3",1077
"ENSMUSG00000073085",619294,"Cldn34b4",1141
"ENSMUSG00000079525",74987,"Cldn34d",1003
"ENSMUSG00000082824",100416301,"Gm14716",718
"ENSMUSG00000088530",115486110,"Gm23280",139
