"","Entrez.Mouse","Entrez.Human","Entrez.Rat"
"20471",20471,6495,114634
"20613",20613,6615,116490
"108903",108903,6904,100361417
"21386",21386,6926,353305
"12462",12462,7203,295230
"53424",53424,7257,64028
"50933",50933,7347,498560
"66694",66694,7386,291103
"22393",22393,7466,83725
"74840",74840,7873,NA
"20450",20450,8128,117523
"53895",53895,8192,301117
"19126",19126,8842,60357
"80885",80885,338442,353250
"27060",27060,10312,293650
"211064",211064,8846,362766
"98828",98828,8872,116656
"52440",52440,8887,246244
"243529",243529,8971,500252
"70481",70481,9240,170636
"56808",56808,9254,300992
"277414",277414,9537,311209
"263876",263876,9825,114210
"17534",17534,9902,498011
"330959",330959,10302,NA
"13185",13185,10311,360703
"14768",14768,10314,114515
"228003",228003,10324,117537
"18117",18117,10328,361425
"17540",17540,10335,308899
"21787",21787,10342,360709
"18766",18766,10343,300124
"231801",231801,3268,304375
"216001",216001,10367,365567
"12300",12300,10369,84347
"17684",17684,10370,114490
"16391",16391,10379,305896
"23827",23827,10380,64473
"107607",107607,10392,500133
"53856",53856,10394,295706
"50768",50768,10395,58834
"50769",50769,51761,NA
"14694",14694,10399,83427
"229615",229615,10401,83614
"54613",54613,10402,304023
"67701",67701,10406,286888
"56508",56508,11069,252857
"22601",22601,10413,363014
"233744",233744,10418,64456
"27374",27374,10419,364382
"70233",70233,10421,293505
"52538",52538,10449,170465
"66513",66513,10454,315139
"23897",23897,10456,291202
"14998",14998,3108,294274
"269060",269060,747,309207
"71817",71817,23585,298552
"12516",12516,924,303747
"170813",170813,932,293753
"12487",12487,940,25660
"234663",234663,1783,81655
"55948",55948,2810,298795
"14760",14760,2842,312787
"54139",54139,3664,364081
"16796",16796,3927,29278
"54630",54630,4007,317380
"16970",16970,4033,500361
"18002",18002,4738,25490
"338352",338352,4745,81733
"18039",18039,4747,83613
"54003",54003,4753,81734
"18013",18013,4761,54276
"18014",18014,4762,29410
"18022",18022,4778,366998
"235134",235134,4798,315523
"18095",18095,4824,305999
"18096",18096,4825,65193
"18113",18113,4837,300691
"230899",230899,4878,24602
"18175",18175,4892,307982
"18185",18185,4901,290221
"18195",18195,4905,60355
"78405",78405,4909,25730
"18212",18212,4915,25054
"67405",67405,4922,299757
"18220",18220,4924,84595
"18227",18227,4929,54278
"246727",246727,4940,494202
"18261",18261,654231,25503
"18393",18393,4999,301430
"18813",18813,5036,288778
"18503",18503,5075,311505
"18506",18506,5078,83630
"18536",18536,5108,81740
"18546",18546,5121,NA
"18577",18577,5141,25638
"110855",110855,5146,361752
"78600",78600,5149,114248
"68797",68797,5157,290771
"18606",18606,5168,84050
"18619",18619,5179,29237
"16922",16922,5264,114209
"23988",23988,5300,NA
"56305",56305,23760,114561
"18830",18830,5360,296371
"18155",18155,5368,25516
"18972",18972,5425,289758
"18973",18973,5426,304573
"245841",245841,5437,120098305
"69920",69920,5438,NA
"20022",20022,5439,288588
"18985",18985,5450,690528
"19015",19015,5467,25682
"66849",66849,5504,192361
"228966",228966,5509,689995
"19060",19060,5536,65179
"108079",108079,5563,78975
"19092",19092,5593,25523
"19127",19127,5626,266738
"19132",19132,5630,24688
"19186",19186,5720,29630
"19730",19730,5900,29622
"19888",19888,6101,681377
"20130",20130,6237,361568
"20193",20193,6271,295214
"20203",20203,6285,25742
"20443",20443,6484,NA
"20832",20832,6748,29435
"320165",320165,6867,306562
"21754",21754,7016,29460
"211586",211586,7029,300947
"21788",21788,7035,29436
"21838",21838,7070,24832
"21929",21929,7128,683206
"21928",21928,7127,299339
"22088",22088,7251,292925
"22174",22174,7301,25232
"22321",22321,7407,25009
"26404",26404,7786,25579
"57377",57377,7841,78947
"231872",231872,7965,288480
"24061",24061,8243,63996
"51795",51795,8406,NA
"194231",194231,10256,298545
"69587",69587,10336,305624
"259279",259279,10426,306599
"23837",23837,10428,292027
"56275",56275,10432,170900
"14791",14791,10436,312706
"57316",57316,10438,289810
"21855",21855,10245,317374
"227693",227693,10444,311842
"51812",51812,10445,300222
"71890",71890,10459,313702
"17289",17289,10461,65037
"109108",109108,10463,498358
"52023",52023,10464,306104
"70103",70103,10467,100360077
"21856",21856,10469,29635
"101206",101206,10474,362414
"22193",22193,10477,295686
"20524",20524,10478,NA
"98221",98221,10480,295975
"15408",15408,10481,NA
"20334",20334,10484,58817
"230654",230654,10489,362566
"56403",56403,10492,363113
"56506",56506,10518,NA
"23991",23991,10519,81823
"27967",27967,10523,290614
"12282",12282,10525,192235
"233726",233726,10527,308939
"67134",67134,10528,362214
"74244",74244,10533,312647
"56390",56390,10534,689397
"69724",69724,10535,364974
"24108",24108,10537,29168
"53314",53314,10538,299206
"69654",69654,10540,299850
"68576",68576,10542,295357
"18003",18003,4739,291044
"19124",19124,10544,362248
"74140",74140,10548,361043
"53381",53381,10549,85274
"65106",65106,10550,66028
"23795",23795,10551,298961
"56443",56443,10552,81824
"53415",53415,10553,292935
"67512",67512,10555,311821
"227522",227522,10557,291317
"268656",268656,10558,361213
"99899",99899,10561,310969
"380924",380924,10562,290409
"211673",211673,10565,312915
"11642",11642,10566,312720
"193116",193116,10569,303057
"26757",26757,10570,25417
"30954",30954,10572,362791
"68611",68611,10573,497876
"12468",12468,10574,297406
"12464",12464,10575,29374
"12461",12461,10576,299809
"67963",67963,10577,286898
"26462",26462,10587,50551
"66556",66556,10589,293674
"381101",381101,10591,171047
"14211",14211,10592,362519
"192159",192159,10594,287530
"260409",260409,10602,313838
"218693",218693,10605,365684
"67054",67054,10606,NA
"213773",213773,10607,287120
"17122",17122,10608,360961
"66180",66180,10609,59101
"20446",20446,10610,303692
"226144",226144,10613,293939
"54141",54141,10615,252918
"70527",70527,10617,171565
"56380",56380,10620,367092
"70408",70408,10621,311487
"94092",94092,10626,NA
"225895",225895,10629,309194
"14726",14726,10630,54320
"50706",50706,10631,361945
"75668",75668,10633,364190
"78926",78926,10634,360973
"51791",51791,10636,114705
"11694",11694,257,365900
"211286",211286,1203,306128
"15248",15248,3090,303310
"107753",107753,3957,171134
"84004",84004,4162,78967
"23996",23996,5704,117262
"114713",114713,5922,25597
"19698",19698,5971,100360982
"20211",20211,100528017,NA
"20226",20226,6301,266975
"209446",209446,7030,317376
"22420",22420,7475,316526
"228913",228913,7764,311764
"64050",64050,8089,299810
"21821",21821,8100,305918
"13716",13716,8178,306347
"12587",12587,8190,81510
"17979",17979,8202,84584
"229933",229933,9635,308016
"235441",235441,9960,363084
"54376",54376,10368,140724
"17978",17978,10499,83724
"30926",30926,10539,58815
"56032",56032,10641,363138
"140486",140486,10642,303477
"140488",140488,10643,312320
"319765",319765,10644,303824
"53375",53375,10651,288150
"56418",56418,10652,64351
"68603",68603,10654,310645
"13992",13992,10656,64015
"20218",20218,10657,117268
"14007",14007,10659,29428
"16814",16814,10660,499362
"16596",16596,10661,304666
"13018",13018,10664,83726
"225825",225825,10666,307199
"69955",69955,10667,306879
"68755",68755,10668,116679
"68567",68567,10669,245918
"22428",22428,10671,290798
"29873",29873,10675,50568
"53625",53625,10678,305571
"13595",13595,10682,117278
"114141",114141,10686,155268
"14348",14348,10690,84597
"12469",12469,10694,288305
"72029",72029,10695,685174
"53419",53419,10699,289596
"68521",68521,10712,310640
"21375",21375,10716,680427
"11800",11800,8539,362170
"54446",54446,10725,307820
"18221",18221,10726,29648
"277353",277353,10732,311715
"26450",26450,10741,29459
"18685",18685,10745,252962
"17175",17175,10747,64459
"16562",16562,10749,113886
"71520",71520,10750,363616
"66505",66505,10771,291259
"241322",241322,10773,366029
"53620",53620,10791,NA
"258640",258640,10798,295822
"208366",208366,10799,291071
"58861",58861,10800,114099
"76816",76816,10806,305002
"56018",56018,10809,293150
"107971",107971,10817,316213
"327826",327826,10818,314850
"50877",50877,10825,117185
"14317",14317,10841,89833
"19051",19051,10842,266705
"270166",270166,10845,300786
"23984",23984,10846,63885
"20174",20174,10856,292907
"21983",21983,7162,83684
"109246",109246,10867,312728
"74270",74270,10868,311856
"56183",56183,10874,63887
"14190",14190,10875,84586
"23829",23829,10882,363686
"114332",114332,10894,NA
"23922",23922,10899,29439
"51799",51799,10900,303569
"67955",67955,10910,290408
"56070",56070,10915,307474
"109801",109801,2739,294320
"108679",108679,10920,363283
"66587",66587,10922,296741
"57319",57319,10924,294422
"73744",73744,4123,246136
"11534",11534,132,25368
"17342",17342,4286,25094
"12511",12511,923,25752
"69537",69537,1774,363522
"102920",102920,2491,25448
"15273",15273,3097,29721
"15399",15399,3199,103690123
"56812",56812,3300,689593
"75547",75547,11214,293024
"17218",17218,4174,291885
"58200",58200,5502,58977
"19662",19662,5950,25703
"20650",20650,6645,689421
"70599",70599,6744,311146
"20933",20933,6837,499762
"19027",19027,6856,366595
"21351",21351,6888,83688
"22269",22269,7379,689093
"16792",16792,7805,89783
"244349",244349,7994,306571
"66863",66863,8216,360745
"72399",72399,8315,687346
"16911",16911,8543,362051
"17167",17167,8685,367391
"56805",56805,10009,501506
"19824",19824,10107,294210
"104252",104252,10435,309175
"81909",81909,7542,684755
"14623",14623,10804,84403
"269470",269470,10885,310720
"240354",240354,10892,307366
"24111",24111,10911,29180
"19765",19765,10928,84014
"11811",11811,10930,301226
"58916",58916,9499,291605
"11757",11757,10935,64371
"237716",237716,10936,498434
"69597",69597,10939,307350
"75062",75062,10946,313583
"64933",64933,10947,140667
"12228",12228,10950,54230
"67145",67145,10953,311621
"72599",72599,10954,360722
"108767",108767,10957,286988
"66890",66890,10960,290994
"67397",67397,10961,117030
"56772",56772,10962,NA
"20867",20867,10963,192277
"217371",217371,10966,303754
"69072",69072,10969,114021
"216197",216197,10970,362859
"77987",77987,10973,309887
"66594",66594,10975,NA
"98985",98985,10978,311166
"218952",218952,10979,289992
"26893",26893,10980,304343
"12453",12453,10983,289500
"56307",56307,10988,64370
"76257",76257,10991,252919
"72432",72432,11005,361319
"240514",240514,11007,NA
"93672",93672,11009,170819
"24086",24086,11011,303592
"223922",223922,11016,315333
"73130",73130,50999,289883
"79464",79464,11019,305348
"67042",67042,11020,300062
"72634",72634,11022,310652
"106572",106572,11031,246324
"69257",69257,1998,361944
"66355",66355,2766,117533
"17716",17716,4535,26193
"17705",17705,4508,26197
"17711",17711,4519,26192
"17710",17710,4514,26204
"17708",17708,4512,26195
"17709",17709,4513,26198
"17718",17718,4537,26199
"17717",17717,4536,26194
"17720",17720,4539,26200
"17722",17722,4541,26203
"12193",12193,678,298765
"140483",140483,3176,81676
"15434",15434,3232,288152
"170718",170718,3420,94173
"19090",19090,5591,360748
"19889",19889,6102,367714
"235293",235293,6309,114100
"20316",20316,6388,287470
"20444",20444,6483,64442
"20431",20431,6490,362818
"14664",14664,6536,116509
"20665",20665,6663,29361
"20667",20667,6666,689988
"75396",75396,6694,94168
"110920",110920,6782,29734
"226182",226182,6877,294018
"22268",22268,7348,303924
"22270",22270,7380,315190
"67255",67255,7570,360389
"59057",59057,7572,360204
"232337",232337,7580,362425
"109929",109929,7597,314245
"14977",14977,7922,294281
"18124",18124,8013,58853
"216285",216285,8092,25401
"58187",58187,9071,290485
"94275",94275,9500,84469
"380714",380714,9501,171123
"54153",54153,10156,288589
"16977",16977,10233,312707
"18150",18150,10360,502389
"57752",57752,10579,309025
"214189",214189,10590,306942
"210106",210106,11044,306672
"68219",68219,11051,291877
"53604",53604,11055,498415
"78394",78394,11056,85432
"16840",16840,11061,81512
"68612",68612,11065,296368
"56405",56405,11072,NA
"20257",20257,11075,84510
"110253",110253,11078,362956
"16545",16545,11081,314771
"71690",71690,11082,64536
"30806",30806,11095,300475
"23794",23794,11096,304135
"24000",24000,11099,171070
"67053",67053,11102,NA
"52705",52705,11103,314830
"75296",75296,11116,683722
"100952",100952,11117,298845
"14084",14084,11124,140657
"54215",54215,11126,NA
"218832",218832,11128,361102
"70394",70394,11133,NA
"104445",104445,11135,315121
"103136",103136,11137,362856
"18769",18769,11142,266709
"217127",217127,11143,303470
"13404",13404,11144,362960
"225845",225845,11145,24913
"231630",231630,11153,288741
"223227",223227,11166,306168
"14314",14314,11167,79210
"192166",192166,1757,114123
"14916",14916,2981,64055
"17995",17995,4723,293655
"24109",24109,5412,NA
"67437",67437,6747,81784
"106795",106795,6941,406195
"21745",21745,7011,64523
"21827",21827,7059,681309
"21930",21930,7130,84397
"22044",22044,7200,25569
"269523",269523,7415,116643
"22349",22349,7429,316521
"22772",22772,7546,361096
"22658",22658,7703,NA
"22344",22344,7716,287615
"22671",22671,7732,24916
"22788",22788,7784,114639
"229663",229663,7812,117180
"21425",21425,7942,316214
"27411",27411,8170,54302
"100177",100177,9204,362602
"230661",230661,10420,170908
"18141",18141,10762,25497
"76453",76453,11098,308807
"244373",244373,11160,290823
"27356",27356,11172,50546
"58866",58866,11181,60576
"26411",26411,11184,292763
"56460",56460,11187,293619
"74610",74610,11194,362302
"114741",114741,11198,305851
"26447",26447,11201,291526
"114863",114863,11212,306544
"53975",53975,11218,84473
"63953",63953,11221,63995
"207839",207839,11226,NA
"71323",71323,11228,312846
"140740",140740,11231,309858
"50776",50776,11232,303612
"75841",75841,11236,NA
"51902",51902,11237,NA
"22770",22770,11244,171159
"381413",381413,11245,117257
"104079",104079,11248,NA
"93690",93690,11250,301372
"227619",227619,11253,499751
"99296",99296,11255,85268
"53598",53598,11258,498977
"56398",56398,11261,NA
"59038",59038,11264,282634
"80915",80915,11266,64014
"27681",27681,11267,287645
"13680",13680,55308,292022
"59047",59047,11284,308576
"218271",218271,11285,364675
"239157",239157,10687,305977
"22365",22365,11311,64516
"59042",59042,11316,290659
"11536",11536,11318,29307
"70601",70601,11319,688968
"74254",74254,11321,688393
"217353",217353,11322,688280
"20912",20912,6814,114095
"12034",12034,11331,114766
"80385",80385,11334,NA
"70645",70645,11339,499873
"20284",20284,11341,64458
"23999",23999,11344,684352
"104027",104027,11346,NA
"17380",17380,4311,24590
"12189",12189,672,497672
"15586",15586,3373,367166
"11352",11352,27,304883
"78653",78653,388962,297388
"66366",66366,51614,296306
"67920",67920,84549,306526
"217734",217734,29954,688673
"13990",13990,56916,312398
"103694",103694,222068,305502
"105148",105148,3376,306804
"217057",217057,51651,287593
"17957",17957,63908,499903
"11772",11772,161,81637
"328370",328370,91869,290552
"77622",77622,27301,NA
"56075",56075,23590,100364990
"230801",230801,55650,366478
"67895",67895,5464,294504
"238799",238799,3842,309126
"67059",67059,29789,296488
"26922",26922,51102,29470
"103711",103711,55163,64533
"68879",68879,24148,NA
"54632",54632,24140,363450
"214663",214663,123096,314441
"208211",208211,56052,360475
"53893",53893,11164,361274
"217365",217365,55666,140639
"66190",66190,55331,499210
"21982",21982,55858,364137
"18563",18563,5091,25104
"104884",104884,55775,314380
"14376",14376,23193,293721
"83704",83704,56996,171443
"212880",212880,9879,245957
"69692",69692,51020,361462
"67228",67228,92715,NA
"66226",66226,6399,501550
"66617",66617,28989,362103
"54624",54624,54623,361531
"56095",56095,117246,303608
"18041",18041,9054,84594
"72107",72107,79075,299933
"74451",74451,9489,303698
"67830",67830,11079,298675
"57784",57784,55909,361065
"231293",231293,80157,305307
"69159",69159,121268,359959
"71336",71336,64080,362706
"320655",320655,93210,688174
"66138",66138,114049,368084
"232078",232078,55258,297332
"16210",16210,55364,497198
"217011",217011,54475,303372
"67078",67078,283871,287115
"228998",228998,55738,246310
"66044",66044,92675,362227
"52530",52530,55651,287273
"98314",98314,728294,301624
"52815",52815,197257,307858
"102216272",102216272,102157402,NA
"208638",208638,54977,301067
"103468",103468,57122,116555
"72085",72085,64172,314548
"66492",66492,153527,NA
"109331",109331,56254,313216
"22196",22196,7329,25573
"104662",104662,55720,100360406
"331026",331026,29925,363145
"271842",271842,27079,311326
"72026",72026,55687,362976
"71990",71990,79039,360815
"14555",14555,2819,60666
"192170",192170,9775,688288
"245944",245944,51542,286932
"227095",227095,26275,301384
"67005",67005,51728,366277
"101867",101867,23378,308911
"212528",212528,55621,288914
"67768",67768,29104,288309
"76983",76983,23256,54350
"68087",68087,79877,360639
"21454",21454,6950,24818
"70349",70349,1315,114023
"75731",75731,414328,498695
"68477",68477,64795,312439
"668173",668173,5192,680424
"213753",213753,90850,287119
"70560",70560,10352,690654
"66084",66084,55005,292268
"235036",235036,56342,298699
"66855",66855,22980,292082
"73736",73736,51077,299198
"109093",109093,57038,297969
"71713",71713,51362,361859
"66580",66580,51575,366203
"14299",14299,23413,NA
"71711",71711,80198,293678
"57295",57295,23463,170818
"67439",67439,56949,245976
"69617",69617,10531,307081
"74150",74150,80255,288993
"66682",66682,126003,363858
"224705",224705,6293,25218
"76959",76959,51510,297995
"109145",109145,84296,290842
"52874",52874,9933,NA
"320106",320106,151258,362141
"78689",78689,60560,64472
"215951",215951,246269,502479
"73834",73834,51382,299159
"67870",67870,58478,305177
"170759",170759,57130,290673
"56794",56794,26061,85255
"58246",58246,84912,296969
"68995",68995,28985,302500
"110265",110265,4482,29447
"60344",60344,55137,295649
"71147",71147,54995,289934
"230577",230577,25973,313429
"75751",75751,79711,290228
"59050",59050,10412,171456
"67881",67881,145553,290230
"226139",226139,1355,309391
"60315",60315,60314,300258
"338337",338337,83548,361073
"93728",93728,140886,688518
"320632",320632,23020,296126
"76187",76187,137872,362474
"107508",107508,2058,289352
"226432",226432,55705,304817
"68291",68291,25821,300852
"233802",233802,55623,309041
"68032",68032,51234,296049
"65102",65102,60491,301431
"16559",16559,57576,500571
"66317",66317,80349,363064
"231659",231659,10985,690632
"76915",76915,84057,295160
"29869",29869,9706,303206
"24127",24127,54464,300944
"230584",230584,54432,298312
"108853",108853,54516,361473
"68017",68017,29960,304323
"224092",224092,55341,288029
"103135",103135,9924,408200
"56737",56737,85365,313231
"56361",56361,80324,304567
"98417",98417,29097,289324
"19183",19183,29893,140938
"18194",18194,50814,309262
"68043",68043,221143,290279
"66628",66628,54974,303067
"67979",67979,84896,NA
"68758",68758,83451,360831
"229317",229317,83939,502531
"237823",237823,5198,287420
"66771",66771,79018,687192
"13667",13667,8890,117019
"68988",68988,26121,292536
"27998",27998,56915,308441
"67283",67283,60386,303676
"64934",64934,23481,289740
"68592",68592,25949,170933
"217431",217431,79954,313981
"212679",212679,92935,100911305
"109075",109075,54512,300045
"58523",58523,55250,307545
"66840",66840,56270,360682
"380959",380959,84920,245960
"231452",231452,55153,289504
"66171",66171,25796,290636
"217707",217707,51004,299195
"319653",319653,55972,296813
"70472",70472,29028,314993
"80744",80744,57703,362153
"20932",20932,6836,NA
"230249",230249,23392,NA
"26972",26972,23626,366261
"72201",72201,51633,297911
"71984",71984,54938,292759
"66865",66865,23203,296588
"212647",212647,8659,NA
"246257",246257,124641,NA
"67755",67755,51202,297685
"227715",227715,23404,366017
"76357",76357,57570,362754
"78914",78914,55191,353255
"72590",72590,51400,361613
"320717",320717,160760,304488
"326622",326622,26019,361271
"18952",18952,5414,287606
"69372",69372,27304,311655
"13437",13437,23549,301529
"268490",268490,124801,287731
"68523",68523,51647,680987
"102462",102462,55272,NA
"327762",327762,1763,NA
"97112",97112,51068,310512
"21766",21766,113419,297392
"78928",78928,51604,296360
"329384",329384,138428,362113
"232187",232187,10322,312503
"110854",110854,5524,362102
"69906",69906,81034,315023
"215193",215193,27042,305076
"106564",106564,79717,298490
"72096",72096,399818,361664
"320635",320635,51700,365345
"94041",94041,55821,246758
"65114",65114,55737,25479
"71780",71780,51477,290651
"328162",328162,115708,314462
"320806",320806,84340,294672
"70325",70325,284098,NA
"72198",72198,23517,365668
"66757",66757,134637,361453
"68299",68299,55275,287535
"76890",76890,51072,298787
"67556",67556,93183,79112
"68184",68184,8562,687565
"56369",56369,51074,295961
"226098",226098,143279,309514
"57905",57905,100534599,362394
"21915",21915,1841,301622
"12465",12465,22948,294864
"106344",106344,5984,288003
"16434",16434,3704,311422
"102115",102115,83475,314644
"18618",18618,10400,25511
"28084",28084,84313,NA
"83493",83493,22908,116482
"66801",66801,79706,498171
"27392",27392,23556,309051
"20818",20818,58477,NA
"69225",69225,55739,361185
"78929",78929,171568,300088
"353258",353258,84946,361452
"71998",71998,399512,497933
"100087",100087,112970,685656
"67205",67205,51118,313581
"72886",72886,55702,NA
"72162",72162,170506,310461
"66700",66700,51652,282834
"56748",56748,27247,297416
"72587",72587,255967,360760
"56194",56194,55660,295607
"68953",68953,27243,365191
"74006",74006,10059,114114
"227674",227674,64794,311835
"67387",67387,25972,192356
"66246",66246,55644,290028
"223693",223693,25829,362959
"27096",27096,27095,362599
"68626",68626,60528,282826
"67239",67239,84154,NA
"71715",71715,60625,362260
"28000",28000,27339,246216
"170750",170750,7511,170751
"223499",223499,25879,362902
"228889",228889,55661,362274
"66711",66711,51119,288615
"69071",69071,27346,NA
"104444",104444,25996,300689
"28030",28030,85476,114017
"67019",67019,64431,314718
"51786",51786,53981,299256
"66877",66877,51340,NA
"60525",60525,55902,311569
"69740",69740,51611,295394
"66201",66201,51534,292640
"56199",56199,23456,361439
"67914",67914,57017,498909
"110379",110379,6396,NA
"68080",68080,51184,360810
"75624",75624,23173,295500
"268281",268281,257218,308282
"72113",72113,57143,366698
"68298",68298,9918,362438
"52513",52513,54606,289780
"54451",54451,51692,298916
"231279",231279,60558,305317
"217715",217715,8892,84005
"11837",11837,6175,NA
"27376",27376,1468,170943
"52633",52633,56954,288174
"102436",102436,23395,363172
"234729",234729,55697,307842
"224907",224907,56931,301122
"71916",71916,11062,366593
"225348",225348,134430,688637
"12721",12721,11151,155151
"67678",67678,27258,297455
"228812",228812,128869,353304
"52064",52064,84274,304542
"70396",70396,54529,NA
"68730",68730,64118,246185
"67456",67456,51290,NA
"15112",15112,54363,311446
"101943",101943,23450,292019
"228875",228875,51006,311637
"22256",22256,7374,304577
"22213",22213,7327,294331
"70359",70359,84705,290633
"93757",93757,83943,100359529
"12181",12181,23246,300050
"22388",22388,9948,360950
"105372",105372,84135,310019
"232210",232210,56941,NA
"208144",208144,57647,288647
"101612",101612,83743,308592
"67179",67179,55246,361059
"22427",22427,7486,290805
"54651",54651,389856,302566
"71732",71732,55823,315600
"319322",319322,10992,293671
"22782",22782,7779,58976
"66681",66681,55276,289632
"81898",81898,23451,84486
"66942",66942,8886,NA
"76563",76563,55278,309911
"70598",70598,27145,246776
"227695",227695,51490,499770
"103199",103199,9896,309855
"68904",68904,84945,306630
"72151",72151,5985,304528
"107650",107650,5298,81747
"67308",67308,26589,293054
"67563",67563,64428,360496
"78244",78244,134218,192210
"68991",68991,29101,298681
"102580",102580,79796,367083
"67045",67045,55781,308201
"66419",66419,65003,293666
"68636",68636,81889,302980
"66361",66361,79752,361917
"66094",66094,51690,362829
"98956",98956,55226,311257
"225994",225994,54981,499330
"13207",13207,1655,287765
"18968",18968,5422,85241
"71777",71777,54556,312154
"67383",67383,138199,293871
"235339",235339,1737,81654
"69536",69536,51409,300989
"66926",66926,51605,311441
"109275",109275,79913,362258
"16993",16993,4048,299732
"69684",69684,80755,619440
"100609",100609,55695,288595
"56716",56716,64223,64226
"67582",67582,115286,362403
"105083",105083,53918,294754
"67841",67841,64422,171415
"66369",66369,54920,291978
"226043",226043,55871,171057
"24030",24030,6183,292758
"69663",69663,317781,304570
"230737",230737,29889,362593
"71361",71361,84883,361843
"66362",66362,51010,313243
"268933",268933,84219,360497
"100043674",100043674,9978,NA
"229780",229780,54482,499697
"73681",73681,60487,378794
"98910",98910,9712,291309
"19718",19718,5982,116468
"108943",108943,93587,295496
"231713",231713,80018,360811
"11898",11898,445,25698
"67417",67417,124454,361641
"67669",67669,51501,293103
"72662",72662,22894,306103
"67876",67876,80219,301416
"320438",320438,29929,362547
"68327",68327,115939,360494
"50721",50721,51548,299638
"24128",24128,22803,362229
"381903",381903,79053,293129
"328133",328133,55334,314275
"80286",80286,7991,290783
"19895",19895,22934,362383
"66922",66922,22800,365355
"78891",78891,57410,293684
"71340",71340,83732,291061
"12850",12850,10229,25249
"18408",18408,10166,306574
"29807",29807,27010,680668
"66249",66249,56902,289809
"67216",67216,129642,313997
"107272",107272,29968,293820
"57741",57741,26155,313777
"70428",70428,55703,362858
"217593",217593,89874,171151
"66383",66383,23479,NA
"17713",17713,80273,79563
"14287",14287,2356,687266
"78697",78697,54517,296751
"108067",108067,8891,171145
"100210",100210,54707,362614
"66966",66966,54802,362586
"68833",68833,79031,316348
"226654",226654,100131187,100359478
"55989",55989,51602,60373
"20019",20019,25885,83581
"12952",12952,1407,299691
"66254",66254,27292,294718
"217337",217337,6730,363707
"66248",66248,29880,295051
"213895",213895,9790,362426
"100929",100929,55253,304423
"66569",66569,284161,303407
"69179",69179,100526772,361110
"107045",107045,51520,291624
"76582",76582,51194,NA
"14885",14885,2968,NA
"226539",226539,55157,304919
"242864",242864,222236,296757
"67067",67067,140823,679572
"70120",70120,51067,287924
"69237",69237,23560,114300
"74195",74195,55140,100362548
"67292",67292,5279,364032
"80743",80743,64601,296159
"381314",381314,55699,NA
"20017",20017,84172,83582
"16418",16418,3692,305506
"108664",108664,51606,297797
"226591",226591,261726,360869
"78797",78797,27158,311799
"27366",27366,10907,NA
"68479",68479,84844,192246
"102339",102339,25839,361407
"66413",66413,9861,289924
"74111",74111,9904,304512
"52858",52858,10423,192260
"67873",67873,84245,288912
"67877",67877,51126,362228
"69833",69833,5435,83503
"11604",11604,181,25582
"19164",19164,5663,29192
"14810",14810,2902,24408
"277328",277328,8989,312896
"72825",72825,84315,315999
"66129",66129,195827,498685
"329002",329002,7776,291409
"72075",72075,11054,83525
"21664",21664,22822,29380
"76332",76332,22796,690961
"17765",17765,22823,360905
"192160",192160,22794,259170
"53610",53610,4841,317259
"66111",66111,23423,300888
"18600",18600,11240,29511
"19383",19383,22913,296301
"19414",19414,22821,29372
"56392",56392,8036,309548
"20476",20476,4990,314221
"230908",230908,23435,298648
"11695",11695,60529,296511
"11864",11864,9915,25243
"11875",11875,116969,259167
"11899",11899,460,304900
"11923",11923,58158,288821
"11993",11993,550,680423
"12014",12014,60468,313125
"12022",12022,56033,364680
"12028",12028,581,NA
"12029",12029,255877,360551
"12032",12032,63827,25393
"12064",12064,627,24225
"19261",19261,140885,25528
"12159",12159,652,25296
"12211",12211,57448,313876
"12259",12259,712,298566
"12338",12338,827,83685
"12344",12344,93661,29324
"12366",12366,835,64314
"12391",12391,859,29161
"12416",12416,84733,303730
"12419",12419,23468,300266
"12426",12426,887,25706
"12482",12482,931,309217
"12507",12507,921,54236
"12585",12585,1039,308958
"12677",12677,338917,171360
"12777",12777,2826,363682
"12801",12801,1268,25248
"12805",12805,1272,117258
"12877",12877,64506,293056
"12977",12977,1435,78965
"13134",13134,1602,306096
"13389",13389,10683,114125
"13394",13394,1748,303469
"13418",13418,64215,100360412
"13435",13435,1788,444984
"13591",13591,1879,116543
"13605",13605,1894,361921
"13631",13631,29904,25435
"13661",13661,26298,295965
"13709",13709,1997,85424
"14008",14008,2116,361544
"14012",14012,10205,300679
"14083",14083,5747,25614
"14178",14178,2252,29348
"14218",14218,9644,309460
"14235",14235,2305,58921
"14257",14257,2324,114110
"14275",14275,2348,171049
"14313",14313,10468,24373
"14366",14366,8322,64558
"14373",14373,50486,289388
"14401",14401,2561,25451
"14422",14422,124872,688155
"14562",14562,9573,500311
"14570",14570,398,360500
"14620",14620,2707,29585
"14621",14621,127534,117055
"14732",14732,57678,29653
"14761",14761,2850,65275
"14762",14762,2856,299007
"14787",14787,114822,300030
"14894",14894,29105,307642
"14911",14911,25917,500288
"14915",14915,2980,25656
"15193",15193,84717,171073
"15207",15207,390992,64628
"15220",15220,94234,64826
"15235",15235,4485,24566
"15278",15278,64216,289307
"15284",15284,3142,364069
"15374",15374,51155,NA
"15395",15395,3206,100911668
"15414",15414,3216,497986
"15417",15417,3219,287647
"15431",15431,3237,102553842
"15432",15432,3238,366082
"15547",15547,27037,287953
"16172",16172,23765,312679
"16205",16205,170575,312312
