"","Ensembl.macaca","Ensembl.mouse","Entrez.mouse","Unique.ID","Mouse.gene.name"
"ENSMFAG00000038781","ENSMFAG00000038781","ENSMUSG00000078234",242721,"ENSMFAG00000038781.242721","Klhdc7a"
"ENSMFAG00000029368","ENSMFAG00000029368","ENSMUSG00000036411",68283,"ENSMFAG00000029368.68283","Matcap2"
"ENSMFAG00000039905","ENSMFAG00000039905","ENSMUSG00000031976",382038,"ENSMFAG00000039905.382038","Urb2"
"ENSMFAG00000035720","ENSMFAG00000035720","ENSMUSG00000029735",29807,"ENSMFAG00000035720.29807","Tpk1"
"ENSMFAG00000044678","ENSMFAG00000044678","ENSMUSG00000023883",72057,"ENSMFAG00000044678.72057","Phf10"
"ENSMFAG00000001896","ENSMFAG00000001896","ENSMUSG00000030286",66087,"ENSMFAG00000001896.66087","Emc3"
"ENSMFAG00000040850","ENSMFAG00000040850","ENSMUSG00000040972",230868,"ENSMFAG00000040850.230868","Igsf21"
"ENSMFAG00000037566","ENSMFAG00000037566","ENSMUSG00000038697",102162,"ENSMFAG00000037566.102162","Taf5l"
"ENSMFAG00000042065","ENSMFAG00000042065","ENSMUSG00000019823",171580,"ENSMFAG00000042065.171580","Mical1"
"ENSMFAG00000045351","ENSMFAG00000045351","ENSMUSG00000022842",107522,"ENSMFAG00000045351.107522","Ece2"
"ENSMFAG00000036800","ENSMFAG00000036800","ENSMUSG00000036526",108723,"ENSMFAG00000036800.108723","Card11"
"ENSMFAG00000034574","ENSMFAG00000034574","ENSMUSG00000001120",59093,"ENSMFAG00000034574.59093","Pcbp3"
"ENSMFAG00000044089","ENSMFAG00000044089","ENSMUSG00000036611",67484,"ENSMFAG00000044089.67484","Eepd1"
"ENSMFAG00000041106","ENSMFAG00000041106","ENSMUSG00000019853",56016,"ENSMFAG00000041106.56016","Hebp2"
"ENSMFAG00000002787","ENSMFAG00000002787","ENSMUSG00000031974",56199,"ENSMFAG00000002787.56199","Abcb10"
"ENSMFAG00000033301","ENSMFAG00000033301","ENSMUSG00000032536",67095,"ENSMFAG00000033301.67095","Trak1"
"ENSMFAG00000036558","ENSMFAG00000036558","ENSMUSG00000053730",230770,"ENSMFAG00000036558.230770","Tmem39b"
"ENSMFAG00000038744","ENSMFAG00000038744","ENSMUSG00000029712",83766,"ENSMFAG00000038744.83766","Actl6b"
"ENSMFAG00000046348","ENSMFAG00000046348","ENSMUSG00000039419",66797,"ENSMFAG00000046348.66797","Cntnap2"
"ENSMFAG00000034365","ENSMFAG00000034365","ENSMUSG00000039835",215819,"ENSMFAG00000034365.215819","Nhsl1"
"ENSMFAG00000044341","ENSMFAG00000044341","ENSMUSG00000039509",234865,"ENSMFAG00000044341.234865","Nup133"
"ENSMFAG00000040019","ENSMFAG00000040019","ENSMUSG00000040964",72754,"ENSMFAG00000040019.72754","Arhgef10l"
"ENSMFAG00000039171","ENSMFAG00000039171","ENSMUSG00000029713",14693,"ENSMFAG00000039171.14693","Gnb2"
"ENSMFAG00000038604","ENSMFAG00000038604","ENSMUSG00000015714",76893,"ENSMFAG00000038604.76893","Cers2"
"ENSMFAG00000000407","ENSMFAG00000000407","ENSMUSG00000046961",239845,"ENSMFAG00000000407.239845","Gpr156"
"ENSMFAG00000002280","ENSMFAG00000002280","ENSMUSG00000031972",11459,"ENSMFAG00000002280.11459","Acta1"
"ENSMFAG00000037802","ENSMFAG00000037802","ENSMUSG00000006998",21762,"ENSMFAG00000037802.21762","Psmd2"
"ENSMFAG00000031361","ENSMFAG00000031361","ENSMUSG00000046991",71682,"ENSMFAG00000031361.71682","Wdr27"
"ENSMFAG00000033596","ENSMFAG00000033596","ENSMUSG00000031971",73420,"ENSMFAG00000033596.73420","Ccsap"
"ENSMFAG00000000893","ENSMFAG00000000893","ENSMUSG00000019826",268294,"ENSMFAG00000000893.268294","Zbtb24"
"ENSMFAG00000032698","ENSMFAG00000032698","ENSMUSG00000039683",330222,"ENSMFAG00000032698.330222","Sdk1"
"ENSMFAG00000041513","ENSMFAG00000041513","ENSMUSG00000001436",20509,"ENSMFAG00000041513.20509","Slc19a1"
"ENSMFAG00000042328","ENSMFAG00000042328","ENSMUSG00000015697",84505,"ENSMFAG00000042328.84505","Setdb1"
"ENSMFAG00000032668","ENSMFAG00000032668","ENSMUSG00000059554",215814,"ENSMFAG00000032668.215814","Ccdc28a"
"ENSMFAG00000002130","ENSMFAG00000002130","ENSMUSG00000032532",12424,"ENSMFAG00000002130.12424","Cck"
"ENSMFAG00000041125","ENSMFAG00000041125","ENSMUSG00000056493",17425,"ENSMFAG00000041125.17425","Foxk1"
"ENSMFAG00000002620","ENSMFAG00000002620","ENSMUSG00000022812",56637,"ENSMFAG00000002620.56637","Gsk3b"
"ENSMFAG00000039019","ENSMFAG00000039019","ENSMUSG00000091415",633979,"ENSMFAG00000039019.633979","Ak9"
"ENSMFAG00000041826","ENSMFAG00000041826","ENSMUSG00000032530",69032,"ENSMFAG00000041826.69032","Lyzl4"
"ENSMFAG00000045309","ENSMFAG00000045309","ENSMUSG00000008429",80517,"ENSMFAG00000045309.80517","Herpud2"
"ENSMFAG00000033735","ENSMFAG00000033735","ENSMUSG00000029714",57330,"ENSMFAG00000033735.57330","Gigyf1"
"ENSMFAG00000032526","ENSMFAG00000032526","ENSMUSG00000039623",231855,"ENSMFAG00000032526.231855","Ap5z1"
"ENSMFAG00000046090","ENSMFAG00000046090","ENSMUSG00000031965",57246,"ENSMFAG00000046090.57246","Tbx20"
"ENSMFAG00000035871","ENSMFAG00000035871","ENSMUSG00000029673",319974,"ENSMFAG00000035871.319974","Auts2"
"ENSMFAG00000044690","ENSMFAG00000044690","ENSMUSG00000032528",22354,"ENSMFAG00000044690.22354","Vipr1"
"ENSMFAG00000041037","ENSMFAG00000041037","ENSMUSG00000022809",18171,"ENSMFAG00000041037.18171","Nr1i2"
"ENSMFAG00000037282","ENSMFAG00000037282","ENSMUSG00000071392",100045792,"ENSMFAG00000037282.100045792","Ect2l"
"ENSMFAG00000031930","ENSMFAG00000031930","ENSMUSG00000038417",103199,"ENSMFAG00000031930.103199","Fig4"
"ENSMFAG00000046081","ENSMFAG00000046081","ENSMUSG00000029686",26965,"ENSMFAG00000046081.26965","Cul1"
"ENSMFAG00000002602","ENSMFAG00000002602","ENSMUSG00000070532",78465,"ENSMFAG00000002602.78465","Ccdc190"
"ENSMFAG00000000208","ENSMFAG00000000208","ENSMUSG00000029576",231858,"ENSMFAG00000000208.231858","Radil"
"ENSMFAG00000003616","ENSMFAG00000003616","ENSMUSG00000020260",80294,"ENSMFAG00000003616.80294","Pofut2"
"ENSMFAG00000024362","ENSMFAG00000024362","ENSMUSG00000022805",320214,"ENSMFAG00000024362.320214","Cfap91"
"ENSMFAG00000031074","ENSMFAG00000031074","ENSMUSG00000074817",56522,"ENSMFAG00000031074.56522","Papolb"
"ENSMFAG00000033005","ENSMFAG00000033005","ENSMUSG00000061536",215474,"ENSMFAG00000033005.215474","Sec22c"
"ENSMFAG00000038379","ENSMFAG00000038379","ENSMUSG00000015522",11863,"ENSMFAG00000038379.11863","Arnt"
"ENSMFAG00000038327","ENSMFAG00000038327","ENSMUSG00000023885",21826,"ENSMFAG00000038327.21826","Thbs2"
"ENSMFAG00000027783","ENSMFAG00000027783","ENSMUSG00000029715",74097,"ENSMFAG00000027783.74097","Pop7"
"ENSMFAG00000034331","ENSMFAG00000034331","ENSMUSG00000045983",208643,"ENSMFAG00000034331.208643","Eif4g1"
"ENSMFAG00000044414","ENSMFAG00000044414","ENSMUSG00000029711",13856,"ENSMFAG00000044414.13856","Epo"
"ENSMFAG00000002164","ENSMFAG00000002164","ENSMUSG00000046922",140741,"ENSMFAG00000002164.140741","Gpr6"
"ENSMFAG00000011312","ENSMFAG00000011312","ENSMUSG00000020262",110532,"ENSMFAG00000011312.110532","Adarb1"
"ENSMFAG00000046040","ENSMFAG00000046040","ENSMUSG00000078453",73112,"ENSMFAG00000046040.73112","Abracl"
"ENSMFAG00000000402","ENSMFAG00000000402","ENSMUSG00000028111",13038,"ENSMFAG00000000402.13038","Ctsk"
"ENSMFAG00000039368","ENSMFAG00000039368","ENSMUSG00000046516",12856,"ENSMFAG00000039368.12856","Cox17"
"ENSMFAG00000002297","ENSMFAG00000002297","ENSMUSG00000019831",83767,"ENSMFAG00000002297.83767","Wasf1"
"ENSMFAG00000035464","ENSMFAG00000035464","ENSMUSG00000038642",13040,"ENSMFAG00000035464.13040","Ctss"
"ENSMFAG00000000414","ENSMFAG00000000414","ENSMUSG00000032525",18087,"ENSMFAG00000000414.18087","Nktr"
"ENSMFAG00000039734","ENSMFAG00000039734","ENSMUSG00000022803",64082,"ENSMFAG00000039734.64082","Popdc2"
"ENSMFAG00000039018","ENSMFAG00000039018","ENSMUSG00000079173",22635,"ENSMFAG00000039018.22635","Zan"
"ENSMFAG00000044308","ENSMFAG00000044308","ENSMUSG00000029290",54367,"ENSMFAG00000044308.54367","Zfp326"
"ENSMFAG00000003901","ENSMFAG00000003901","ENSMUSG00000023886",64074,"ENSMFAG00000003901.64074","Smoc2"
"ENSMFAG00000044553","ENSMFAG00000044553","ENSMUSG00000034040",212996,"ENSMFAG00000044553.212996","Galnt17"
"ENSMFAG00000042336","ENSMFAG00000042336","ENSMUSG00000026678",19737,"ENSMFAG00000042336.19737","Rgs5"
"ENSMFAG00000002327","ENSMFAG00000002327","ENSMUSG00000038446",71713,"ENSMFAG00000002327.71713","Cdc40"
"ENSMFAG00000044493","ENSMFAG00000044493","ENSMUSG00000002847",85031,"ENSMFAG00000044493.85031","Pla1a"
"ENSMFAG00000032381","ENSMFAG00000032381","ENSMUSG00000060371",140904,"ENSMFAG00000032381.140904","Caln1"
"ENSMFAG00000000795","ENSMFAG00000000795","ENSMUSG00000028109",67981,"ENSMFAG00000000795.67981","Hormad1"
"ENSMFAG00000031732","ENSMFAG00000031732","ENSMUSG00000054720",100604,"ENSMFAG00000031732.100604","Lrrc8c"
"ENSMFAG00000037615","ENSMFAG00000037615","ENSMUSG00000032977",108707,"ENSMFAG00000037615.108707","Slx9"
"ENSMFAG00000040930","ENSMFAG00000040930","ENSMUSG00000019772",22353,"ENSMFAG00000040930.22353","Vip"
"ENSMFAG00000041115","ENSMFAG00000041115","ENSMUSG00000043067",244745,"ENSMFAG00000041115.244745","Dpy19l1"
"ENSMFAG00000046404","ENSMFAG00000046404","ENSMUSG00000074001",72330,"ENSMFAG00000046404.72330","Klhl40"
"ENSMFAG00000012290","ENSMFAG00000012290","ENSMUSG00000026683",66977,"ENSMFAG00000012290.66977","Nuf2"
"ENSMFAG00000002497","ENSMFAG00000002497","ENSMUSG00000032523",74770,"ENSMFAG00000002497.74770","Hhatl"
"ENSMFAG00000035528","ENSMFAG00000035528","ENSMUSG00000029710",13846,"ENSMFAG00000035528.13846","Ephb4"
"ENSMFAG00000041650","ENSMFAG00000041650","ENSMUSG00000029775",76788,"ENSMFAG00000041650.76788","Klhdc10"
"ENSMFAG00000039321","ENSMFAG00000039321","ENSMUSG00000002844",11544,"ENSMFAG00000039321.11544","Adprh"
"ENSMFAG00000042214","ENSMFAG00000042214","ENSMUSG00000019773",67141,"ENSMFAG00000042214.67141","Fbxo5"
"ENSMFAG00000040730","ENSMFAG00000040730","ENSMUSG00000039891",378431,"ENSMFAG00000040730.378431","Txlnb"
"ENSMFAG00000032987","ENSMFAG00000032987","ENSMUSG00000075122",12519,"ENSMFAG00000032987.12519","Cd80"
"ENSMFAG00000042364","ENSMFAG00000042364","ENSMUSG00000046519",229593,"ENSMFAG00000042364.229593","Golph3l"
"ENSMFAG00000040192","ENSMFAG00000040192","ENSMUSG00000029687",14056,"ENSMFAG00000040192.14056","Ezh2"
"ENSMFAG00000042613","ENSMFAG00000042613","ENSMUSG00000079235",100502861,"ENSMFAG00000042613.100502861","Ccdc13"
"ENSMFAG00000035457","ENSMFAG00000035457","ENSMUSG00000056310",100929,"ENSMFAG00000035457.100929","Tyw1"
"ENSMFAG00000037047","ENSMFAG00000037047","ENSMUSG00000002846",76916,"ENSMFAG00000037047.76916","Timmdc1"
"ENSMFAG00000002296","ENSMFAG00000002296","ENSMUSG00000052534",18514,"ENSMFAG00000002296.18514","Pbx1"
"ENSMFAG00000028860","ENSMFAG00000028860","ENSMUSG00000050821",78408,"ENSMFAG00000028860.78408","Fam131a"
"ENSMFAG00000035511","ENSMFAG00000035511","ENSMUSG00000037344",83704,"ENSMFAG00000035511.83704","Slc12a9"
"ENSMFAG00000039353","ENSMFAG00000039353","ENSMUSG00000019775",56533,"ENSMFAG00000039353.56533","Rgs17"
"ENSMFAG00000014083","ENSMFAG00000014083","ENSMUSG00000034064",224143,"ENSMFAG00000014083.224143","Poglut1"
"ENSMFAG00000046068","ENSMFAG00000046068","ENSMUSG00000029782",72649,"ENSMFAG00000046068.72649","Tmem209"
"ENSMFAG00000031557","ENSMFAG00000031557","ENSMUSG00000019834",70840,"ENSMFAG00000031557.70840","Slc22a16"
"ENSMFAG00000035576","ENSMFAG00000035576","ENSMUSG00000023348",22051,"ENSMFAG00000035576.22051","Trip6"
"ENSMFAG00000000363","ENSMFAG00000000363","ENSMUSG00000019867",76743,"ENSMFAG00000000363.76743","Gje1"
"ENSMFAG00000039176","ENSMFAG00000039176","ENSMUSG00000050445",13124,"ENSMFAG00000039176.13124","Cyp8b1"
"ENSMFAG00000046062","ENSMFAG00000046062","ENSMUSG00000002845",67846,"ENSMFAG00000046062.67846","Tmem39a"
"ENSMFAG00000012586","ENSMFAG00000012586","ENSMUSG00000044534",59289,"ENSMFAG00000012586.59289","Ackr2"
"ENSMFAG00000032620","ENSMFAG00000032620","ENSMUSG00000025337",66711,"ENSMFAG00000032620.66711","Sbds"
"ENSMFAG00000001664","ENSMFAG00000001664","ENSMUSG00000023995",70026,"ENSMFAG00000001664.70026","Tspo2"
"ENSMFAG00000033817","ENSMFAG00000033817","ENSMUSG00000077598",115490526,"ENSMFAG00000033817.115490526","Gm26011"
"ENSMFAG00000042545","ENSMFAG00000042545","ENSMUSG00000038612",17210,"ENSMFAG00000042545.17210","Mcl1"
"ENSMFAG00000041247","ENSMFAG00000041247","ENSMUSG00000022799",12549,"ENSMFAG00000041247.12549","Arhgap31"
"ENSMFAG00000040833","ENSMFAG00000040833","ENSMUSG00000043659",319239,"ENSMFAG00000040833.319239","Npsr1"
"ENSMFAG00000031766","ENSMFAG00000031766","ENSMUSG00000029784",75647,"ENSMFAG00000031766.75647","Ssmem1"
"ENSMFAG00000032780","ENSMFAG00000032780","ENSMUSG00000019868",66201,"ENSMFAG00000032780.66201","Vta1"
"ENSMFAG00000041101","ENSMFAG00000041101","ENSMUSG00000026686",110648,"ENSMFAG00000041101.110648","Lmx1a"
"ENSMFAG00000041358","ENSMFAG00000041358","ENSMUSG00000022843",12724,"ENSMFAG00000041358.12724","Clcn2"
"ENSMFAG00000033745","ENSMFAG00000033745","ENSMUSG00000037364",83701,"ENSMFAG00000033745.83701","Srrt"
"ENSMFAG00000042924","ENSMFAG00000042924","ENSMUSG00000071553",232680,"ENSMFAG00000042924.232680","Cpa2"
"ENSMFAG00000041238","ENSMFAG00000041238","ENSMUSG00000053094",71667,"ENSMFAG00000041238.71667","Tmem248"
"ENSMFAG00000002542","ENSMFAG00000002542","ENSMUSG00000000766",18390,"ENSMFAG00000002542.18390","Oprm1"
"ENSMFAG00000032643","ENSMFAG00000032643","ENSMUSG00000043592",76589,"ENSMFAG00000032643.76589","Unc5cl"
"ENSMFAG00000002126","ENSMFAG00000002126","ENSMUSG00000015843",20183,"ENSMFAG00000002126.20183","Rxrg"
"ENSMFAG00000003907","ENSMFAG00000003907","ENSMUSG00000022793",56375,"ENSMFAG00000003907.56375","B4galt4"
"ENSMFAG00000033972","ENSMFAG00000033972","ENSMUSG00000039070",71791,"ENSMFAG00000033972.71791","Cpa4"
"ENSMFAG00000001615","ENSMFAG00000001615","ENSMUSG00000035629",100502698,"ENSMFAG00000001615.100502698","Rubcn"
"ENSMFAG00000013160","ENSMFAG00000013160","ENSMUSG00000065701",19872,"ENSMFAG00000013160.19872","Rny1"
"ENSMFAG00000002493","ENSMFAG00000002493","ENSMUSG00000040485",240899,"ENSMFAG00000002493.240899","Lrrc52"
"ENSMFAG00000037988","ENSMFAG00000037988","ENSMUSG00000025823",12304,"ENSMFAG00000037988.12304","Pdia4"
"ENSMFAG00000002869","ENSMFAG00000002869","ENSMUSG00000015850",229595,"ENSMFAG00000002869.229595","Adamtsl4"
"ENSMFAG00000001715","ENSMFAG00000001715","ENSMUSG00000049436",22268,"ENSMFAG00000001715.22268","Upk1b"
"ENSMFAG00000042060","ENSMFAG00000042060","ENSMUSG00000040490",70530,"ENSMFAG00000042060.70530","Lrfn2"
"ENSMFAG00000040626","ENSMFAG00000040626","ENSMUSG00000031963",73230,"ENSMFAG00000040626.73230","Bmper"
"ENSMFAG00000042294","ENSMFAG00000042294","ENSMUSG00000038481",78334,"ENSMFAG00000042294.78334","Cdk19"
"ENSMFAG00000040545","ENSMFAG00000040545","ENSMUSG00000026688",66447,"ENSMFAG00000040545.66447","Mgst3"
"ENSMFAG00000037867","ENSMFAG00000037867","ENSMUSG00000023328",11423,"ENSMFAG00000037867.11423","Ache"
"ENSMFAG00000033975","ENSMFAG00000033975","ENSMUSG00000035638",224116,"ENSMFAG00000033975.224116","Muc20"
"ENSMFAG00000031483","ENSMFAG00000031483","ENSMUSG00000038233",245050,"ENSMFAG00000031483.245050","Gask1a"
"ENSMFAG00000045025","ENSMFAG00000045025","ENSMUSG00000029788",74649,"ENSMFAG00000045025.74649","Cpa5"
"ENSMFAG00000045011","ENSMFAG00000045011","ENSMUSG00000064065",320495,"ENSMFAG00000045011.320495","Ipcef1"
"ENSMFAG00000014340","ENSMFAG00000014340","ENSMUSG00000066235",215494,"ENSMFAG00000014340.215494","Pomgnt2"
"ENSMFAG00000038115","ENSMFAG00000038115","ENSMUSG00000021018",245841,"ENSMFAG00000038115.245841","Polr2h"
"ENSMFAG00000026682","ENSMFAG00000026682","ENSMUSG00000040213",229905,"ENSMFAG00000026682.229905","Kyat3"
"ENSMFAG00000045932","ENSMFAG00000045932","ENSMUSG00000039533",75104,"ENSMFAG00000045932.75104","Mmd2"
"ENSMFAG00000001233","ENSMFAG00000001233","ENSMUSG00000039116",215798,"ENSMFAG00000001233.215798","Adgrg6"
"ENSMFAG00000032929","ENSMFAG00000032929","ENSMUSG00000062519",272347,"ENSMFAG00000032929.272347","Zfp398"
"ENSMFAG00000033280","ENSMFAG00000033280","ENSMUSG00000026687",56752,"ENSMFAG00000033280.56752","Aldh9a1"
"ENSMFAG00000041226","ENSMFAG00000041226","ENSMUSG00000038145",20623,"ENSMFAG00000041226.20623","Snrk"
"ENSMFAG00000044370","ENSMFAG00000044370","ENSMUSG00000022847",21832,"ENSMFAG00000044370.21832","Thpo"
"ENSMFAG00000005716","ENSMFAG00000005716","ENSMUSG00000089107",115488266,"ENSMFAG00000005716.115488266","Gm23117"
"ENSMFAG00000029911","ENSMFAG00000029911","ENSMUSG00000022790",207683,"ENSMFAG00000029911.207683","Igsf11"
"ENSMFAG00000001348","ENSMFAG00000001348","ENSMUSG00000069581",252974,"ENSMFAG00000001348.252974","Tspear"
"ENSMFAG00000002202","ENSMFAG00000002202","ENSMUSG00000029790",83922,"ENSMFAG00000002202.83922","Cep41"
"ENSMFAG00000030647","ENSMFAG00000030647","ENSMUSG00000064120",56738,"ENSMFAG00000030647.56738","Mocs1"
"ENSMFAG00000000827","ENSMFAG00000000827","ENSMUSG00000028271",229906,"ENSMFAG00000000827.229906","Gtf2b"
"ENSMFAG00000040115","ENSMFAG00000040115","ENSMUSG00000028108",13601,"ENSMFAG00000040115.13601","Ecm1"
"ENSMFAG00000002927","ENSMFAG00000002927","ENSMUSG00000052428",68944,"ENSMFAG00000002927.68944","Tmco1"
"ENSMFAG00000033880","ENSMFAG00000033880","ENSMUSG00000015202",215748,"ENSMFAG00000033880.215748","Cnksr3"
"ENSMFAG00000042189","ENSMFAG00000042189","ENSMUSG00000037949",102566,"ENSMFAG00000042189.102566","Ano10"
"ENSMFAG00000045258","ENSMFAG00000045258","ENSMUSG00000035919",319845,"ENSMFAG00000045258.319845","Bbs9"
"ENSMFAG00000046083","ENSMFAG00000046083","ENSMUSG00000022791",51789,"ENSMFAG00000046083.51789","Tnk2"
"ENSMFAG00000032681","ENSMFAG00000032681","ENSMUSG00000026558",80914,"ENSMFAG00000032681.80914","Uck2"
"ENSMFAG00000038694","ENSMFAG00000038694","ENSMUSG00000028259",57756,"ENSMFAG00000038694.57756","Fhl5"
"ENSMFAG00000001808","ENSMFAG00000001808","ENSMUSG00000006958",12667,"ENSMFAG00000001808.12667","Chrd"
"ENSMFAG00000036168","ENSMFAG00000036168","ENSMUSG00000040260",76441,"ENSMFAG00000036168.76441","Daam2"
"ENSMFAG00000030387","ENSMFAG00000030387","ENSMUSG00000028107",71807,"ENSMFAG00000030387.71807","Tars2"
"ENSMFAG00000032771","ENSMFAG00000032771","ENSMUSG00000060568",226610,"ENSMFAG00000032771.226610","Fam78b"
"ENSMFAG00000037703","ENSMFAG00000037703","ENSMUSG00000061080",268890,"ENSMFAG00000037703.268890","Lsamp"
"ENSMFAG00000017022","ENSMFAG00000017022","ENSMUSG00000065501",723930,"ENSMFAG00000017022.723930","Mir335"
"ENSMFAG00000030090","ENSMFAG00000030090","ENSMUSG00000004591",109333,"ENSMFAG00000030090.109333","Pkn2"
"ENSMFAG00000038476","ENSMFAG00000038476","ENSMUSG00000040359",67490,"ENSMFAG00000038476.67490","Ufl1"
"ENSMFAG00000037391","ENSMFAG00000037391","ENSMUSG00000040596",71592,"ENSMFAG00000037391.71592","Pogk"
"ENSMFAG00000003213","ENSMFAG00000003213","ENSMUSG00000034118",22021,"ENSMFAG00000003213.22021","Tpst1"
"ENSMFAG00000032738","ENSMFAG00000032738","ENSMUSG00000046201",106583,"ENSMFAG00000032738.106583","Scaf8"
"ENSMFAG00000044800","ENSMFAG00000044800","ENSMUSG00000029578",74781,"ENSMFAG00000044800.74781","Wipi2"
"ENSMFAG00000000711","ENSMFAG00000000711","ENSMUSG00000022797",22042,"ENSMFAG00000000711.22042","Tfrc"
"ENSMFAG00000044776","ENSMFAG00000044776","ENSMUSG00000068036",17356,"ENSMFAG00000044776.17356","Afdn"
"ENSMFAG00000002559","ENSMFAG00000002559","ENSMUSG00000028106",75137,"ENSMFAG00000002559.75137","Rprd2"
"ENSMFAG00000001121","ENSMFAG00000001121","ENSMUSG00000025607",54160,"ENSMFAG00000001121.54160","Copg2"
"ENSMFAG00000001298","ENSMFAG00000001298","ENSMUSG00000015501",15273,"ENSMFAG00000001298.15273","Hivep2"
"ENSMFAG00000032577","ENSMFAG00000032577","ENSMUSG00000026563",27878,"ENSMFAG00000032577.27878","Tada1"
"ENSMFAG00000037297","ENSMFAG00000037297","ENSMUSG00000019838",72472,"ENSMFAG00000037297.72472","Slc16a10"
"ENSMFAG00000041003","ENSMFAG00000041003","ENSMUSG00000047261",14432,"ENSMFAG00000041003.14432","Gap43"
"ENSMFAG00000039791","ENSMFAG00000039791","ENSMUSG00000015748",70767,"ENSMFAG00000039791.70767","Prpf3"
"ENSMFAG00000038665","ENSMFAG00000038665","ENSMUSG00000032540",67469,"ENSMFAG00000038665.67469","Abhd5"
"ENSMFAG00000034755","ENSMFAG00000034755","ENSMUSG00000089413",115488261,"ENSMFAG00000034755.115488261","Gm22013"
"ENSMFAG00000033289","ENSMFAG00000033289","ENSMUSG00000039497",212898,"ENSMFAG00000033289.212898","Dse"
"ENSMFAG00000001569","ENSMFAG00000001569","ENSMUSG00000052363",245308,"ENSMFAG00000001569.245308","Zdhhc19"
"ENSMFAG00000046230","ENSMFAG00000046230","ENSMUSG00000022708",56490,"ENSMFAG00000046230.56490","Zbtb20"
"ENSMFAG00000006659","ENSMFAG00000006659","ENSMUSG00000055373",14348,"ENSMFAG00000006659.14348","Fut9"
"ENSMFAG00000028969","ENSMFAG00000028969","ENSMUSG00000051652",237387,"ENSMFAG00000028969.237387","Lrrc3"
"ENSMFAG00000042375","ENSMFAG00000042375","ENSMUSG00000054312",66292,"ENSMFAG00000042375.66292","Mrps21"
"ENSMFAG00000035666","ENSMFAG00000035666","ENSMUSG00000040520",242362,"ENSMFAG00000035666.242362","Manea"
"ENSMFAG00000043607","ENSMFAG00000043607","ENSMUSG00000039032",116732,"ENSMFAG00000043607.116732","Tsga13"
"ENSMFAG00000035662","ENSMFAG00000035662","ENSMUSG00000050994",215772,"ENSMFAG00000035662.215772","Adgb"
"ENSMFAG00000042429","ENSMFAG00000042429","ENSMUSG00000038550",229599,"ENSMFAG00000042429.229599","Ciart"
"ENSMFAG00000040266","ENSMFAG00000040266","ENSMUSG00000019841",19714,"ENSMFAG00000040266.19714","Rev3l"
"ENSMFAG00000040339","ENSMFAG00000040339","ENSMUSG00000094985",671232,"ENSMFAG00000040339.671232","Topaz1"
"ENSMFAG00000001755","ENSMFAG00000001755","ENSMUSG00000035699",106407,"ENSMFAG00000001755.106407","Slc51a"
"ENSMFAG00000036727","ENSMFAG00000036727","ENSMUSG00000042810",77827,"ENSMFAG00000036727.77827","Krba1"
"ENSMFAG00000041853","ENSMFAG00000041853","ENSMUSG00000046031",215900,"ENSMFAG00000041853.215900","Calhm6"
"ENSMFAG00000002775","ENSMFAG00000002775","ENSMUSG00000038543",229600,"ENSMFAG00000002775.229600","BC028528"
"ENSMFAG00000041676","ENSMFAG00000041676","ENSMUSG00000040151",23908,"ENSMFAG00000041676.23908","Hs2st1"
"ENSMFAG00000037014","ENSMFAG00000037014","ENSMUSG00000005958",13845,"ENSMFAG00000037014.13845","Ephb3"
"ENSMFAG00000001773","ENSMFAG00000001773","ENSMUSG00000009292",28240,"ENSMFAG00000001773.28240","Trpm2"
"ENSMFAG00000015355","ENSMFAG00000015355","ENSMUSG00000019806",66253,"ENSMFAG00000015355.66253","Aig1"
"ENSMFAG00000002585","ENSMFAG00000002585","ENSMUSG00000040612",100039795,"ENSMFAG00000002585.100039795","Ildr2"
"ENSMFAG00000037060","ENSMFAG00000037060","ENSMUSG00000022705",13490,"ENSMFAG00000037060.13490","Drd3"
"ENSMFAG00000045428","ENSMFAG00000045428","ENSMUSG00000005615",13026,"ENSMFAG00000045428.13026","Pcyt1a"
"ENSMFAG00000011892","ENSMFAG00000011892","ENSMUSG00000065610",387222,"ENSMFAG00000011892.387222","Mir29a"
"ENSMFAG00000033589","ENSMFAG00000033589","ENSMUSG00000028289",13841,"ENSMFAG00000033589.13841","Epha7"
"ENSMFAG00000034137","ENSMFAG00000034137","ENSMUSG00000015750",226548,"ENSMFAG00000034137.226548","Aph1a"
"ENSMFAG00000008324","ENSMFAG00000008324","ENSMUSG00000065604",387223,"ENSMFAG00000008324.387223","Mir29b-1"
"ENSMFAG00000002710","ENSMFAG00000002710","ENSMUSG00000019842",103213,"ENSMFAG00000002710.103213","Traf3ip2"
"ENSMFAG00000040076","ENSMFAG00000040076","ENSMUSG00000023999",319991,"ENSMFAG00000040076.319991","Kif6"
"ENSMFAG00000033309","ENSMFAG00000033309","ENSMUSG00000039508",270711,"ENSMFAG00000033309.270711","Calhm4"
"ENSMFAG00000033045","ENSMFAG00000033045","ENSMUSG00000014075",66061,"ENSMFAG00000033045.66061","Dynlt2b"
"ENSMFAG00000005847","ENSMFAG00000005847","ENSMUSG00000093784",115487516,"ENSMFAG00000005847.115487516","Gm22394"
"ENSMFAG00000034051","ENSMFAG00000034051","ENSMUSG00000046603",382117,"ENSMFAG00000034051.382117","Tcaim"
"ENSMFAG00000005870","ENSMFAG00000005870","ENSMUSG00000093443",115487515,"ENSMFAG00000005870.115487515","Gm22871"
